HomeID,VillageCode,Area,WealthRanking,nMembersAdjusted,nGenerations,Composition,NonNormativeComposition,OwnHouse,OwnGuesthouse,OwnFarm,HousingCharacteristics,fHousing,LandSize,LandSizeGeneratingIncome,nCars,nMotorcycles,nBicycles,Toilet,Water,HotWater,Electricity,AC,Fridge,Washer,RiceCooker,TV,TVViewing,CellPhone,Computer,InternetAccess,MedicineAtHome,Livestock,LivestockSales,nPigs,nGoats,nPoultry,nOxen,nHorses,nPigsSold,nGoatsSold,nPoultrySold,nOxenSold,nHorsesSold,PrimarySourceHouseholdIncome,SecondarySourceHouseholdIncome,HHIncomeMonthONLY,HHOtherIncomeONLY,HHIncomeTotalLastYear,HHTotalMonthIncome,HHIncomeIncomplete,IncomeFromRemittance,RegularIncomeFromLand,GovtLumpsumReceived,DibaoPerYear,GovtLandCompensation,HouseholdDebt,SourceOfHouseholdDebt,MajorShockLast5Years,MajorShockLifetime,FoodInsecurityLast5Years,FoodInsecurityChildhood,PctFoodHome,PctFoodMarket,FamilyConditionComparedOtherHouseholds,FamilyConditionCompared10YearsAgo,LastBabyBirthPlace,MotherBirthPlace,LastTimeToClinic,LastTimeToClinicReason,LastTimeToHospital,LastTimeToHospitalReason
105,1.1,1,Rich,5,4,Matrilineal,,1,1,3,Wood,,999,-998,1,6,0,3,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,5,0,15,0,0,0,0,0,0,0,Property and Rent,Tourism,-999,-999,-999,-999,-999,0,R,0,No,,0,,No shock,No shock,Always enough,Always enough,30,70,5,Better,-998,Home,-998,-998,-998,-998
133,3.1,3,Rich,9,4,Matrilineal,,1,0,1,Wood,,30,0,0,1,0,1,2,1,1,0,1,1,1,1,4,1,0,1,1,1,0,10,0,20,7,0,0,0,0,0,0,Agriculture,,-999,-999,-999,-999,-999,0,0,E,-998,,0,,Death,No shock,Always enough,Always enough,90,10,5,Better,Ninglang,Home,-998,-998,-998,-998
134,3.1,3,Rich,9,3,Matrilineal,,1,0,1,Wood,,25,0,0,0,1,1,2,1,1,0,1,1,1,1,4,1,0,1,1,1,1,5,0,32,2,0,0,0,0,0,0,Agriculture,Salary (Regular),0,-999,-999,-999,-999,0,0,E,-998,,0,,No shock,No shock,Always enough,Always enough,80,20,5,Better,Ninglang,Home,-998,-998,-998,-998
135,3.1,3,Rich,14,4,Bilateral,,1,0,1,Wood,,999,0,1,1,1,1,0,0,1,0,1,1,1,1,3,1,0,1,1,1,0,10,0,20,2,0,0,0,0,0,0,Welfare and Subsidy,,-999,0,-999,-999,-999,0,0,E,-998,,0,,No shock,No shock,Always enough,Always enough,90,10,5,Better,Home,Home,-998,-998,-998,-998
136,3.1,3,Rich,9,3,Matrilineal,,1,0,1,Concrete,,32,0,1,3,1,3,2,1,1,0,1,1,1,1,3,1,1,1,1,1,1,7,0,20,50,0,2,0,0,0,0,Agriculture,,0,-999,-999,-999,-999,0,0,E,-998,,-998,,No shock,No shock,Always enough,Always enough,90,10,6,Better,Home,Home,Few months ago,Vaccination,Few months ago,Tooth removal
137,3.1,3,Poor,5,3,Matrilineal,,1,0,1,Wood,D,6,0,0,0,1,0,2,0,1,0,0,1,1,1,3,0,0,0,1,1,0,2,0,5,1,0,0,0,0,0,0,Gifts and Remittances,,0,-999,-999,-999,-999,-999,0,E,-998,,4000,,Illness,Cultural revolution,Always enough,Always enough,95,5,1,Better,Ninglang,Home,-998,-998,-998,-998
142,3.1,3,Average,16,4,Bilateral,,1,0,1,Concrete,,20,0,0,1,3,2,2,1,1,0,1,1,1,1,4,1,0,1,1,1,0,10,0,20,14,0,0,0,0,0,0,Agriculture,Gifts and Remittances,-999,-999,-999,-999,-999,0,0,E,-998,,0,,No shock,No shock,Always enough,Always enough,90,10,5,Better,Ninglang,Home,-998,-998,-998,-998
146,3.1,3,Average,9,4,Matrilineal,,1,0,1,Wood,,999,0,1,3,2,3,2,1,1,0,1,1,1,1,4,1,0,0,1,1,0,11,0,10,1,1,0,0,0,0,0,Salary (Irregular),Agriculture,-999,-999,-999,-999,-999,-999,0,E,-998,,0,,No shock,No shock,Always enough,Always enough,70,30,7,Better,Ninglang,Home,Few years ago,Cold,Few months ago,Delivery
154,3.1,3,Rich,12,3,Matrilineal,,1,0,1,Concrete,,999,0,1,2,2,2,2,1,1,0,1,1,1,1,3,1,0,1,1,1,1,8,0,20,10,0,20,3,0,0,0,Agriculture,Salary (Regular),-999,-999,-999,-999,-999,-999,0,E,-998,,0,,No shock,No shock,Always enough,Always enough,90,10,7,Better,Ninglang,Home,Long time ago,Immunization,Few years ago,Stomach ache
186,3.1,3,Average,4,3,Patrilineal,1,1,0,1,Wood,,10,0,0,1,0,0,2,0,1,0,1,1,1,1,3,1,0,0,1,1,1,3,0,20,0,0,0,0,0,0,0,Gifts and Remittances,,0,-999,-999,-999,-999,0,0,E,-998,,0,,No shock,No shock,Always enough,Always enough,90,10,3,Better,Ninglang,Home,Few months ago,Feet pain,Few years ago,Feet pain
190,3.1,3,Rich,5,3,Matrilineal,,1,0,1,Wood,,12,0,2,2,0,2,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,6,0,30,0,0,0,0,0,0,0,Gifts and Remittances,,0,-999,-999,-999,-999,0,0,E,-998,,20000,Medical,No shock,No shock,Always enough,Sometimes not enough,85,15,3,Better,Home,Home,Last year,Eye problem,Last year,Eye problem
214,1.1,1,Average,7,3,Matrilineal,,1,1,3,Wood,,999,-999,2,0,1,2,3,0,1,0,1,1,1,1,3,1,1,1,1,1,0,5,0,17,0,0,0,0,0,0,0,Property and Rent,Tourism,-999,-999,-999,-999,-999,0,R,0,No,,0,,Fire,No shock,Always enough,Sometimes not enough,30,70,5,Better,Home,Home,Last year,Flu,Never,Na
220,1.1,1,Poor,6,3,Bilateral,,1,3,3,Wood,,8,0,1,0,0,3,3,1,1,0,1,1,1,1,3,1,0,1,1,1,0,6,0,25,0,0,0,0,0,0,0,Agriculture,Tourism,-999,-999,-999,-999,-999,0,0,0,No,,800000,Property purchase-repair,No shock,No shock,Always enough,Sometimes not enough,55,45,5,Better,Ninglang,Home,Few months ago,Flu,Never,Na
222,1.1,1,Average,13,4,Patrilineal,1,1,1,3,Wood,,10,-999,1,1,1,2,3,1,1,0,1,1,1,1,3,1,1,1,1,1,0,12,0,15,0,0,0,0,0,0,0,Tourism,,-999,-999,-999,-999,-999,0,R,0,No,,0,,No shock,No shock,Always enough,Sometimes not enough,65,35,5,Better,Ninglang,Home,Never,Na,Few months ago,Stomach ache
228,3.2,3,Average,4,2,Nuclear,1,1,0,1,Brick,,6,0,0,1,0,1,0,0,1,0,1,1,1,1,3,1,0,0,1,1,0,0,0,22,0,0,0,0,0,0,0,Business,,-999,0,-999,-999,-999,0,0,E,-998,,0,,Earthquake,No shock,Always enough,Always enough,10,90,5,-997,City,Home,Never,Na,Few years ago,Uterus surgery
481,2.1,2,Average,6,3,Matrilineal,,,-998,-998,-998,-998,998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-998,-999,-999,12000,-998,-998,-998,,-998,-998,-998,-998,-998,-998,,,-998,-998,-998,-998,-998,-998,-998,-998
116,1.1,1,Poor,6,3,Matrilineal,,1,1,3,Wood,,7,-998,1,2,0,3,3,1,1,0,1,1,1,1,3,1,0,0,1,1,0,3,0,7,0,0,0,0,0,0,0,Property and Rent,Tourism,-999,75000,75000,5251,1,0,R,0,No,,0,,No shock,No shock,Always enough,Always enough,60,40,2,Better,Home,Home,-998,-998,-998,-998
138,3.1,3,Rich,5,2,Nuclear,1,1,0,1,Wood,,10,0,1,1,0,1,2,1,1,0,1,1,0,1,3,1,0,1,0,1,0,8,70,15,0,0,0,0,0,0,0,Agriculture,Salary (Irregular),2500,-999,30000,2500,1,0,0,E,-998,,0,,Earthquake,Fire,Always enough,Always enough,100,0,5,Better,Home,Home,-998,-998,Long time ago,-998
151,3.1,3,Very Poor,2,2,Patrilineal,1,1,0,1,Wood,,10,0,0,0,0,0,0,0,1,0,0,0,1,0,-998,1,0,0,1,1,0,3,0,7,0,0,0,0,0,0,0,Agriculture,Welfare and Subsidy,-999,7500,7500,625,1,-999,0,E,-998,,0,,No shock,No shock,Always enough,Always enough,90,10,1,Better,Home,Home,Few months ago,Body check,Last year,Surgery
169,3.1,3,Poor,2,2,Nuclear,1,1,0,1,Wood,,8,0,0,1,0,0,1,0,1,0,1,1,1,1,3,1,0,0,1,1,1,6,0,4,0,0,8,0,0,0,0,Agriculture,Salary (Irregular),3000,-999,36000,3000,1,0,0,E,-998,,0,,Death,No shock,Always enough,Sometimes not enough,50,50,1,Better,Home,Home,Never,Na,Few years ago,Alcohol poisoning
